's-hertogenbosch	(name) 's-Hertogenbosch
zaszczycać	(verb) (transitive) to vouchsafe (to condescendingly grant a right)
zaszczycić	(verb) (transitive) to vouchsafe (to condescendingly grant a right)
zaszczyt	(noun) honor; privilege
zaszczytny	(adj) honorable, reputable (worthy of respect)
zaszeleścić	(verb) (intransitive) to rustle, to sough (emit a rustling sound); (intransitive) to rustle (cause to emit a…
zaszklić	(verb) (reflexive) to glaze over, to become glassy
zaszkodzić	(verb) (intransitive) to be bad for someone/something
zasznurować	(verb) (transitive) to lace, to lace up
zaszokować	(verb) (transitive) to shock (emotionally)
zaszpanować	(verb) (intransitive, colloquial) to show off [+instrumental = something]
zasztyletować	(verb) (transitive) to dagger, to stab (to kill with a dagger or knife)
zaszufladkować	(verb) (transitive, colloquial, derogatory) to typecast
zaszumieć	(verb) (intransitive) to rustle, to buzz, to produce disharmonic noise
zaszyfrować	(verb) (transitive) to cipher, to encipher, to encode, to encrypt
zaszyfrowywać	(verb) (transitive) to cipher, to encipher, to encode, to encrypt
zaszywać	(verb) (transitive) to sew up, to sew shut; (transitive) to stitch, to suture
zaszyć	(verb) (transitive) to sew up, to sew shut; (transitive) to stitch, to suture
zasób	(noun) resource, stock
zasądzać	(verb) (transitive, law) to award, to grant [+accusative = something] [+dative = to someone]; (transitive, law)…
zasądzić	(verb) (transitive, law) to award, to grant [+accusative = something] [+dative = to someone]; (transitive, law)…
zasępiać	(verb) (transitive) to deject, to make glum; (reflexive) to despond, to become dejected, to become glum
zasępić	(verb) (transitive) to deject, to make glum; (reflexive) to despond, to become dejected, to become glum
zasłabnąć	(verb) (intransitive) to collapse, to faint (to lose consciousness); (intransitive) to lose strength
zasłaniać	(verb) (transitive) to hide, to cover; (reflexive) to hide oneself, to cover oneself
zasłać	(verb) (transitive, archaic) to send; (transitive) to cover (conceal a surface with some material)
zasłona	(noun) curtain; (basketball) screen
zasłonić	(verb) (transitive) to hide, to cover, to obscure; (reflexive) to hide oneself, to cover oneself
zasłuchany	(adj) engrossed in listening
zasłuchać	(verb) (reflexive) to be engrossed in listening
zasługa	(noun) merit, credit, contribution
zasługiwać	(verb) (intransitive) to deserve [+ na (accusative) = something]
zasłużenie	(adv) deservedly, justly
zasłużony	(adj) deserving, merited
zasłużyć	(verb) (intransitive) to deserve [+ na (accusative) = something]
zasłynąć	(verb) (intransitive) to be famous [+ z (genitive) = for something]
zataczać	(verb) (transitive) to roll, to wheel; (transitive) to make, to move in (a circle or arc)
zataić	(verb) (transitive) to conceal; (reflexive, obsolete) to lie in wait
zatajać	(verb) (transitive) to conceal; (reflexive, obsolete) to lie in wait
zatamować	(verb) (transitive) to stem, to stanch, to stop
zatankować	(verb) (transitive) to fill up, to refuel, to tank up; to booze, to tank up
zatapiać	(verb) (transitive) to sink, to submerge; (transitive) to sink (push e.g. teeth into something)
zatarasować	(verb) (transitive) to bar (to obstruct the passage)
zatarg	(noun) argument, conflict
zatarty	(adj) faded, blurry, difficult to see; covered with something, bedecked
zataskać	(verb) (transitive, colloquial) to lug around
zataszczyć	(verb) (transitive, colloquial) to lug around
zatańczyć	(verb) (intransitive) to dance (move rhythmically to music); (transitive) to dance (perform the steps to a…
zateizować	(verb) (transitive) to atheize (to render atheistic); (reflexive) to atheize (to become atheistic)
zatelefonować	(verb) (intransitive) to phone, call
zatelegrafować	(verb) to telegraph (to use a telegraph)
zatelepać	(verb) (transitive, colloquial) to shake, to jiggle; (reflexive, colloquial) to quiver, to shiver, to shudder
zatem	(conj) therefore
zaterkotać	(verb) (intransitive) to start clattering, to start clanging; (intransitive, derogatory) to start chattering, to…
zatkany	(adj) clogged, plugged, blocked, stuffed up
zatkać	(verb) (transitive) to plug, to bung, to clog
zatknąć	(verb) (transitive) to stick in or on, to insert, to impale; (transitive, reflexive) to clog, to bung, to plug
zatoczka	(noun) bay (parking space)
zatoczyć	(verb) (transitive) to roll, to wheel (to cause to revolve); (transitive) to make, to move in (a circle or arc)
zatoka	(noun) (geography) gulf, bay; (anatomy) sinus
zatoka botnicka	(name) Gulf of Bothnia
zatoka fińska	(name) Gulf of Finland
zatomizować	(verb) (transitive, particle physics) to atomize (to separate or reduce into atoms); (transitive, physics) to…
zatopić	(verb) (transitive) to sink, to submerge; (transitive) to sink (push e.g. teeth into something)
zator	(noun) congestion, obstruction, blockage, backup, clog; (pathology) embolism
zatorowość płucna	(noun) (pathology, idiomatic) pulmonary embolism
zatracać	(verb) (transitive) to lose; (reflexive) to lose oneself (become deeply involved) [+ w (locative) = in something]
zatracić	(verb) (transitive) to lose; (reflexive) to lose oneself (become deeply involved) [+ w (locative) = in something]
zatrajkotać	(verb) (intransitive) to start chattering, to start jabbering; (intransitive) to start clattering, to start rattling
zatrucie	(noun) (toxicology) poisoning, toxicosis
zatrudniać	(verb) (transitive) to employ, to hire (to give someone work or a job)
zatrudnić	(verb) (transitive) to employ, to hire
zatruty pion	(noun) (chess, idiomatic) poisoned pawn
zatruwać	(verb) (transitive) to poison, to toxify (add poison to something); (transitive) to taint, to pollute
zatruć	(verb) (transitive) to poison, to toxify (add poison to something); (transitive) to taint, to pollute
zatrważający	(adj) appalling, disquieting (horrifying and astonishing)
zatrważać	(verb) (transitive) to frighten, to scare; (reflexive) to be frightened, to be scared
zatrwian	(noun) any flowering plant of the genus Limonium – statice, sea lavender, marsh rosemary
zatrwożyć	(verb) (transitive) to frighten, to scare; (reflexive) to be frightened, to be scared
zatrzask	(noun) latch, catch (locking mechanism); snap fastener, press stud (pair of interlocking discs)
zatrzaskiwać	(verb) (transitive, reflexive) to slam shut (close with sudden force); (transitive, reflexive) to latch, to clasp…
zatrzasnąć	(verb) (transitive, reflexive) to slam shut (close with sudden force); (transitive, reflexive) to latch, to clasp…
zatrzepotać	(verb) (intransitive or reflexive) to flutter, to flap
zatrzeszczeć	(verb) (intransitive) to crackle, to creak; (intransitive, colloquial) to jabber
zatrzeć	(verb) (transitive) to blur, to smudge, to make indistinct; (transitive) to hide, to make indistinct (a fact,…
zatrzymać	(verb) (transitive) to stop, to staunch; (transitive) to detain, to hold back, to keep back
zatrzymywać	(verb) (transitive) to stop, to halt; (transitive) to detain, to hold back, to keep back
zatrząść	(verb) (transitive) to shake, to rattle; (reflexive) to shake, to vibrate
zatrzęsienie	(noun) plentitude, a lot of something [+genitive = of something]
zatrąbić	(verb) (intransitive) to honk (to use a car's horn); (intransitive) to trumpet (to make the sound of an elephant)
zaturkotać	(verb) to clatter, to rattle
zatuszować	(verb) (transitive) to cover up, to whitewash
zatuszowywać	(verb) (transitive) to cover up, to whitewash
zatwardzenie	(noun) (colloquial, medicine) constipation
zatwierdzać	(verb) (transitive) to confirm, to sanction, to ratify, to approve
zatwierdzenie	(noun) confirmation, approval
zatwierdzić	(verb) (transitive) to confirm, to sanction, to ratify, to approve
zatybrzański	(adj) (relational) of Trastevere (a district in Rome)
zatybrze	(name) Trastevere (district of Rome (rione XIII) on the west bank of the Tiber)
zatyczka	(noun) plug
zatykać	(verb) (transitive, reflexive) to plug, to bung, to clog
zatytułować	(verb) (transitive) to entitle (a book, film, play, etc.)
zatęchnąć	(verb) (intransitive) to go musty, to go mouldy
zatęchły	(adj) musty, mouldy
zatłaczać	(verb) (transitive) to crowd, to pack
zatłoczony	(adj) crowded
zatłoczyć	(verb) (transitive) to crowd, to pack
zaufanie	(noun) trust
zaufany	(adj) trusted
zaufać	(verb) (transitive) to trust (to place confidence in) [+dative] or [+ w (object)] [+accusative]
zauroczenie	(noun) fascination, infatuation (unreasoning love or attraction)
zauroczyć	(verb) (transitive) to jinx; (reflexive) to become infatuated with
zausznica	(noun) (archaic) earring
zausznik	(noun) (archaic) confidant
zautomatyzować	(verb) (transitive) to automate; (transitive) to automatize, to put on autopilot
zautonomizować	(verb) (transitive) to autonomize [+ wobec (genitive) = from whom/what]; (reflexive) to autonomize, to become…
zautoryzować	(verb) (transitive, publishing) to authorize publication of one's works
zauważalnie	(adv) significantly, considerably, substantially
zauważalny	(adj) significant, considerable, substantial
zauważać	(verb) (transitive) to notice, note, observe, discern; (transitive) to remark, raise attention
zauważyć	(verb) (transitive) to notice, note, observe, discern; (transitive) to remark, raise attention
zaułek	(noun) alleyway, narrow street
zawada	(noun) hindrance; stumbling block
zawada steryczna	(noun) (chemistry) steric hindrance
zawadiacki	(adj) bellicose, impertinent, impudent, warlike
zawadiaka	(noun) heckler, swashbuckler
zawadniać	(verb) (transitive) to flood, to irrigate (to fill with water)
zawadzać	(verb) (intransitive) to be in the way, to cumber, to hamper, to obstruct; (intransitive) to catch on something
zawadzić	(verb) (intransitive) to be in the way, to cumber, to hamper, to obstruct; (intransitive) to catch on something
zawalać	(verb) (transitive) to strew, to inundate, to encumber; (transitive) to bar, to block
zawalczyć	(verb) (intransitive) to fight, to contend [+ z (instrumental) = with something]; (intransitive) to strive, to go…
zawalić	(verb) (transitive) to strew, to inundate, to encumber; (transitive) to bar, to block
zawartość	(noun) contents; content (that which is contained)
zawał	(noun) (pathology) infarct, often heart attack; (mining) collapse, structural failure (of a mining cave)
zawał serca	(noun) (pathology, idiomatic) heart attack
zawciąg	(noun) thrift, sea pink, any plant of the genus Armeria
zawczasu	(adv) in advance, ahead of time, beforehand
zawdzięczać	(verb) (intransitive) to owe (to be under an obligation); (intransitive) to owe (to have as a cause)
zawetować	(verb) (transitive) to veto (to use a veto against)
zawiadamiać	(verb) (transitive) to notify, to apprise, to inform
zawiadomienie	(noun) notification, notice
zawiadomić	(verb) (transitive) to notify, to apprise, to inform
zawiany	(adj) (colloquial) tipsy, tiddly (slightly drunk)
zawias	(noun) hinge
zawiać	(verb) (intransitive) to gust, to blow; (intransitive, of scents) to blow in, to waft, to smell [+instrumental =…
zawiedziony	(adj) disappointed (defeated of expectations or hope)
zawieja	(noun) snowfall accompanied by strong winds; blizzard; snowstorm; (archaic) gale (very strong wind)
zawieranie	(noun) (mathematics) containment
zawierać	(verb) (transitive) to contain; to include; (transitive, of a deal) to complete; to seal; to make
zawierucha	(noun) gale (a very strong wind); turmoil
zawieruszać	(verb) (transitive) to misplace, to mislay; (reflexive) to go missing
zawieruszyć	(verb) (transitive) to misplace, to mislay; (reflexive) to go missing
zawiesina	(noun) (chemistry) suspension
zawiesić	(verb) (transitive) to hang (cause to be suspended); (transitive) to suspend, to halt, to put on ice
zawieszać	(verb) (transitive) to hang (cause to be suspended); (transitive) to suspend, to halt, to put on ice
zawieszenie	(noun) suspension, deferral, abeyance; (vehicles) suspension
zawieszenie broni	(noun) (idiomatic) armistice, cease-fire, truce
zawieszka	(noun) hanger, hook; pendant
zawieszony	(adj) suspended
zawietrzna	(noun) lee
zawietrzny	(adj) leeward
zawiewać	(verb) (intransitive) to gust, to blow; (intransitive, of scents) to blow in, to waft, to smell [+instrumental =…
zawieść	(verb) (intransitive) to fail; to be unsuccessful; (transitive) to fail; to cease to operate correctly
zawieźć	(verb) (transitive, automotive, transport) to drive (to take someone or something somewhere)
zawijas	(noun) squiggle
zawijać	(verb) (transitive) to wrap, to wrap up; (reflexive) to wrap oneself
zawijka	(noun) (botany) indusium; (obsolete) wimple
zawikłany	(adj) convoluted, intricate, unclear
zawile	(adv) convolutedly, involvedly, complicatedly, complexly
zawilec	(noun) anemone (any plant of the genus Anemone)
zawiniony	(adj) at fault, guilty, to blame
zawinić	(verb) (intransitive) to be to blame, to be guilty
zawinąć	(verb) (transitive) to wrap, to wrap up; (reflexive) to wrap oneself
zawisak	(noun) a moth belonging to the family Sphingidae
zawisać	(verb) (intransitive) to hang, to be hanged; (intransitive) to become suspended
zawisnąć	(verb) (intransitive) to hang, to be hanged; (intransitive) to become suspended
zawistnie	(adv) enviously
zawistnik	(noun) envier
